District,Property,PropTag,Area_km2,TenureCode,NT_Por,UTM_Zone,Orient,Scale,Inspected,YearInsp,PrevYear1,PrevYear2,Officer1,Officer2,MapUpdated,Buff_km
VRD,HUMBERT RIVER,HBR,"1,080",PPL 1085,NT Por 3073,53,Portrait,,6/26/2017,2017,2008,0,D. Hooper,E. Kippers,12/5/2018,10
Southern Alice Springs,IDRACOWRA,ICR,"4,628",PPL 1090,NT Por 2958,53,Portrait,,7/12/2018,2018,2013,0,H. Brink,R. Bista,8/31/2020,10
Plenty,INDIANA,IDA,"3,074",PPL 1061,"NT Por 746, 7442",53,Landscape,,7/25/2019,2019,2014,0,H. Brink,R. Bista,10/8/2020,10
VRD,INVERWAY,INV,"2,538",PPL 1112,NT Por 1598 & 2201,52,Portrait,"84,000",8/11/2020,2020,2015,0,D. Hooper,E. Kippers,5/14/2021,5
Plenty,JERVOIS,JVS,"2,830",PPL 962,NT Por 7511 & 366,53,Portrait,,4/27/2017,2017,2009,0,L. Tait,A. Scott,7/24/2020,3
Darwin,JINDARE,JDR,"1,204",PPL 1058,NT Por 709,52,Portrait,"61,000",8/1/2020,2020,2015,0,S. Washusen,J. Targett,10/8/2020,5
Plenty,JINKA,JKA,"2,033",PPL 1119,NT Por 482,53,Portrait,,4/27/2017,2017,2009,0,L. Tait,A. Scott,2/7/2018,10
Sturt Plateau,KALALA,KLA,"3,827",PPL 1064,"NT Por 4269, 4270, 697, 5146, 7512 & 7494",53,Portrait,"100,000",10/2/2017,2017,2011,0,D. Hooper,E. Kippers,5/28/2021,10
Katherine,KATHERINE DOWNS,KTD,198,PL 801,NT Por 1402,53,Portrait,,7/8/2020,2020,2015,0,D. Hooper,E. Kippers,7/5/2017,10
Gulf,KIANA,KNA,"3,318",PPL 1065,NT Por 1164,53,Landscape,,7/1/2019,2019,2015,0,S. Washusen,J. Targett,12/13/2017,3
VRD,KILLARNEY,KLY,"2,819",PPL 1143,NT Por 1363,52,Portrait,"84,000",7/13/2020,2020,2015,0,S. Washusen,J. Targett,12/6/2016,10
VRD,KIRKIMBIE,KKB,"2,304",PPL 1084,NT Por 2663,52,Portrait,"85,000",10/10/2016,2016,2007,0,D. Hooper,J. Emberg,11/2/2017,10
Darwin,KOOLPINYAH,KPH,765,Part of PPL 1147,NT Por 4477 & 4476,52,Portrait,"53,000",9/4/2017,2017,2008,0,B. Lynes,J. Targett,10/21/2020,10
Tennant Creek,KURUNDI,KRD,"3,857",PPL 1109,NT Por 716,53,Landscape,,7/12/2019,2019,2014,0,H. Brink,R. Bista,11/16/2015,3
Darwin,LABELLE DOWNS,LBD,603,PPL 1086,NT Por 3219,52,Landscape,,9/21/2015,2015,2007,0,B. Lynes,J. Targett,11/14/2019,5
Barkly,LAKE NASH,LKN,"8,487",PPL 954,NT Por 3115,53,Portrait,,6/16/2017,2017,2009,0,L. Tait,A. Scott,12/19/2017,5
Sturt Plateau,LAKEFIELD,LKF,586,PPL 1181,NT Por 2731,53,Portrait,,9/23/2019,2019,2014,0,D. Hooper,E. Kippers,12/19/2017,5
Sturt Plateau,LARRIZONA,LRZ,702,PPL 1199,NT Por 2980,53,Portrait,,7/23/2019,2019,2014,0,D. Hooper,E. Kippers,2/12/2019,10
VRD,LEGUNE,LEG,"1,788",PPL 1062,NT Por 798 & 3222,52,Portrait,"76,000",10/17/2014,2014,2012,0,B. Schumacher,D. Hooper,11/30/2016,10
Southern Alice Springs,LILLA CREEK,LLC,"2,979",PPL 1041,NT Por 4516 & 259,53,Landscape,,5/31/2019,2019,2014,0,D. Mitchell,H. Brink,2/6/2019,10
VRD,LIMBUNYA,LBY,"5,218",PPL 1136,NT Por 2092,52,Portrait,"122,000",8/22/2016,2016,2007,0,D. Hooper,N. Prunckun,10/10/2019,5
Darwin,LITCHFIELD,LTF,"1,336",PPL 1006,NT Por 2681,52,Landscape,,8/12/2017,2017,2010,0,J. Targett,R. McGregor,12/14/2017,5
Roper,LONESOME DOVE,LSD,723,PPL 1185,NT Por 4972,53,Portrait,,9/26/2017,2017,2011,0,J. Targett,R. McGregor,9/27/2019,5
Gulf,LORELLA,LRL,"3,840",PL 757,NT Por 1333,53,Portrait,,8/1/2016,2016,2007,0,J. Targett,J. Emberg,9/8/2017,10
Plenty,LUCY CREEK,LCC,"4,055",PPL 1007,NT Por 686,53,Landscape,,8/26/2017,2017,2009,0,C. Wallace,H. Brink,7/17/2015,10
Southern Alice Springs,LYNDAVALE,LDV,"3,762",PPL 1088,NT Por 3350,53,Landscape,,6/29/2018,2018,2013,0,C. Wallace,R. Bista,10/7/2019,10
Northern Alice Springs,MACDONALD DOWNS,MCD,"2,063",PPL 1116,NT Por 3120,53,Portrait,,7/19/2019,2019,2014,0,C. Wallace,D. Mitchell,8/3/2017,5
Roper,MAINORU,MNU,"1,315",PPL 1167,NT Por 5108,53,Landscape,,6/19/2017,2017,2011,0,B. Lynes,J. Targett,4/23/2020,10
Gulf,MALLAPUNYAH SPRINGS,MLP,"4,329",PPL 1075,"NT Por 677, 794, 556, 4152 & 2101",53,Landscape,,9/24/2018,2018,2013,0,B. Sauer,D. Hooper,5/25/2021,10
Gulf,MANANGOORA,MNG,"1,416",PL 685,NT Por 812,53,Portrait,,6/17/2019,2019,2014,0,J. Targett,S. Washusen,10/8/2018,5
Katherine,MANBULLOO,MBL,"3,791",PPL 1205,NT Por 1604,53,Landscape,,6/19/2017,2017,2008,0,D. Hooper,E. Kippers,11/26/2019,5
Plenty,MANNERS CREEK,MNC,"6,770",PPL 1102,NT Por 682 & 1098,53,Landscape,,8/26/2017,2017,2009,0,L. Tait,A. Scott,1/31/2017,5
Sturt Plateau,MARGARET DOWNS,MGD,608,PPL 1196,NT Por 2979 & 3987,53,Portrait,,10/30/2017,2017,2010,0,D. Hooper,E. Kippers,9/11/2018,10
Plenty,MARQUA,MQA,"4,410",PPL 875,NT Por 368,53,Portrait,,7/13/2017,2017,2009,0,L. Tait,C. Wallace,6/8/2016,10
Darwin,MARRAKAI,MKI,578,PPL 1131,NT Por 1170 & 3054,52,Portrait,"45,000",7/12/2016,2016,2007,0,B. Lynes,J. Targett,8/31/2020,5
Darwin,MARY RIVER EAST,MRE,"1,345",PPL 1134,NT Por 649 & 1631,53,Landscape,,8/16/2018,2018,2015,0,J. Targett,S. Washusen,10/20/2016,5
Darwin,MARY RIVER WEST,MRW,929,PL 815,NT Por 1630,52,Landscape,,8/1/2020,2020,2017,0,S. Washusen,J. Targett,12/19/2017,3
Sturt Plateau,MARYFIELD,MYF,"1,473",PPL 1189,NT Por 6365,53,Landscape,,5/3/2016,2016,2010,0,B. Lynes,J. Targett,11/30/2016,10
Southern Alice Springs,MARYVALE,MVL,"3,244",PPL 1063,NT Por 810,53,Portrait,,7/20/2018,2018,2013,0,C. Wallace,L. Tait,9/18/2020,10
Katherine,MATHISON,MTH,652,PPL 1224,NT Por 7061,52,Portrait,"50,000",9/24/2019,2019,2014,0,J. Targett,S. Washusen,5/23/2018,10
Gulf,MCARTHUR RIVER,MAR,"7,225",PPL 1051,NT Por 4319,53,Portrait,,6/11/2019,2019,2014,0,J. Targett,S. Washusen,12/3/2018,10
Darwin,MCKINLAY RIVER,MKY,470,PPL 1184,NT Por 4938,52,Portrait,,10/26/2015,2015,2006,0,B. Lynes,J. Targett,5/20/2021,10
Sturt Plateau,MIDDLE CREEK,MDC,602,PL 1211,NT Por 3049,53,Portrait,,7/13/2020,2020,2015,0,D. Hooper,E. Kippers,11/13/2017,5
Barkly,MITTIEBAH,MTB,"4,034",PPL 1033,NT Por 962,53,Landscape,,5/17/2016,2016,2007,0,D. Hooper,N. Prunckun,11/3/2016,10
VRD,MONTEJINNI EAST,MJE,"1,597",PPL 1043,NT Por 1747 & 1751,52,Landscape,,6/1/2020,2020,2015,0,S. Washusen,J. Targett,12/4/2019,10
VRD,MONTEJINNI WEST,MJW,"1,495",PPL 1042,NT Por 1746,52,Portrait,,6/1/2020,2020,2015,0,S. Washusen,J. Targett,11/25/2015,5
Roper,MOROAK,MOK,"1,427",PPL 1067,NT Por 1288,53,Portrait,,10/1/2016,2016,2011,0,J. Targett,A. Scott,9/22/2016,10
Southern Alice Springs,MOUNT CAVENAGH,MCV,913,PPL 1146,NT Por 4471,53,Landscape,,5/18/2018,2018,2013,0,L. Tait,H. Brink,10/3/2017,10
Northern Alice Springs,MOUNT DENISON,MDS,"2,702",PPL 1110,NT Por 312,53,Landscape,,5/3/2019,2019,2014,0,D. Mitchell,H. Brink,1/29/2019,5
Northern Alice Springs,MOUNT DOREEN,MDR,"7,337",PPL 1035,NT Por 1947,52,Landscape,"158,000",7/26/2016,2016,2008,0,L. Tait,C. Wallace,9/20/2016,3
Barkly,MOUNT DRUMMOND,MDM,"2,920",PPL 1034,NT Por 960,53,Landscape,,5/17/2016,2016,2007,0,D. Hooper,N. Prunckun,9/7/2017,10
Southern Alice Springs,MOUNT EBENEZER,MEZ,"1,640",PPL 1056,NT Por 680,53,Landscape,,8/5/2016,2016,2013,0,L. Tait,G. Bastin,5/14/2021,5
Darwin,MOUNT KEPPLER,MKP,225,PPL 991,NT Por 2850,52,Portrait,,7/19/2016,2016,2008,0,B. Lynes,J. Targett,6/8/2016,10
Roper,MOUNT MCMINN,MTM,826,PPL 1180,NT Por 4256 & 4971,53,Portrait,,7/17/2017,2017,2011,0,B. Lynes,J. Targett,5/20/2019,5
Northern Alice Springs,MOUNT RIDDOCK,MRK,"2,755",PPL 989,"NT Por 3676, 2453, 7578 & 5136",53,Landscape,,6/4/2016,2016,2007,0,L. Tait,C. Wallace,7/4/2016,10
Darwin,MOUNT RINGWOOD,MRG,462,PPL 1212,NT Por 6298,52,Landscape,,10/2/2017,2017,2005,0,B. Lynes,J. Targett,9/7/2016,3
Northern Alice Springs,MOUNT SKINNER,MSK,"3,036",PPL 1138,NT Por 1802 & 704,53,Portrait,,6/17/2016,2016,2008,0,L. Tait,C. Wallace,6/28/2016,10
Roper,MOUNTAIN VALLEY,MTV,"1,410",PPL 1188,NT Por 6518,53,Portrait,,9/9/2016,2016,2011,0,B. Lynes,J. Targett,6/15/2016,10
Southern Alice Springs,MULGA PARK,MGP,"2,647",PPL 1079,NT Por 325 & 1091,52,Landscape,,5/17/2018,2018,2013,0,L. Tait,H. Brink,11/21/2019,3
Barkly,MUNGABROOM,MGB,"3,469",PPL 1018,NT Por 308,53,Portrait,,7/2/2018,2018,2013,0,D. Hooper,B. Sauer,5/18/2016,5
Sturt Plateau,MURRANJI,MRJ,"4,477",PPL 1074,"NT Por 5148, 851, 908, 4273 & 5147",53,Portrait,,6/3/2016,2016,2010,0,D. Hooper,N. Prunckun,12/20/2017,5
Tennant Creek,MURRAY DOWNS,MYD,"5,595",PPL 1139,NT Por 2286,53,Portrait,,7/30/2020,2020,2015,0,D. Mitchell,H. Brink,1/31/2018,5
Roper,NAMUL-NAMUL,NML,497,PPL 1161,NT Por 4970,53,Landscape,,7/10/2017,2017,2011,0,B. Lynes,J. Targett,11/27/2018,10
Northern Alice Springs,NAPPERBY,NPB,"3,146",PPL 1178 & 1177,NT Por 748 & 747,53,Portrait,,5/11/2016,2016,2007,0,L. Tait,C. Wallace,11/30/2016,10
Northern Alice Springs,NARWIETOOMA,NWT,"2,621",PPL 1019,NT Por 727 & 7536,53,Portrait,,10/17/2016,2016,2008,0,M. Humphrys,A. Scott,10/4/2018,5
Sturt Plateau,NENEN,NEN,775,PPL 1186,NT Por 3989 & 2978,53,Portrait,,11/1/2017,2017,2010,0,D. Hooper,E. Kippers,8/9/2017,10
Northern Alice Springs,NEUTRAL JUNCTION,NTJ,"4,609",PPL 969,NT Por 3375,53,Portrait,,4/24/2017,2017,2008,0,C. Wallace,H. Brink,12/11/2018,10
Southern Alice Springs,NEW CROWN,NCN,"6,265",PPL 1132,"NT Por 261, 5171, 5172 & 1102",53,Portrait,,5/16/2019,2019,2014,0,H. Brink,R. Bista,11/7/2016,10
Barkly,NEWCASTLE WATERS,NCW,"3,409",PPL 947,NT Por 4275 & 2093,53,Portrait,,6/12/2018,2018,2013,0,J. Targett,S. Washusen,11/13/2017,3
Northern Alice Springs,NEWHAVEN,NHV,"2,610",PPL 1078,NT Por 2406,52,Landscape,,5/26/2019,2019,2013,0,C. Wallace,R. Bista,10/15/2019,10
VRD,NEWRY,NWY,"2,467",PPL 1114,NT Por 4003 & 2675,52,Portrait,,9/18/2016,2016,2007,0,D. Hooper,J. Emberg,11/7/2016,5
Southern Alice Springs,NUMERY,NMY,"2,022",PPL 1091,NT Por 483,53,Portrait,,7/30/2018,2018,2014,0,H. Brink,R. Bista,1/29/2020,10
Gulf,NUTWOOD DOWNS,NWD,"4,358",PPL 1052,NT Por 1513,53,Portrait,,8/18/2019,2019,2014,0,J. Targett,S. Washusen,1/20/2020,10
Northern Alice Springs,OLD MACDONALD DOWNS,OMD,545,PPL 1098,NT Por 717,53,Portrait,,8/17/2018,2018,2014,0,H. Brink,R. Bista,9/18/2018,5
Darwin,OLD MOUNT BUNDEY,OMB,384,PPL 1163,NT Por 4937,52,Portrait,,8/2/2016,2016,2006,0,J. Emberg,J. Targett,11/7/2016,10
