District,Property,PropTag,Area_km2,TenureCode,NT_Por,UTM_Zone,Orient,Scale,Inspected,YearInsp,PrevYear1,PrevYear2,Officer1,Officer2,MapUpdated,Buff_km
Southern Alice Springs,TODD RIVER,TDR,"2,005",PPL 1053,"NT Por 7518, 318 & 3688",53,Portrait,,7/15/2020,2020,2015,0,D. Mitchell,H. Brink,10/28/2020,10
Barkly,UCHARONIDGE,URG,"2,455",PPL 1072,NT Por 307,53,Portrait,,7/9/2018,2018,2013,0,J. Targett,S. Washusen,7/12/2018,10
Southern Alice Springs,UMBEARA,UBR,"3,574",PPL 999,"NT Por 4007, 4017, 4020, 2869 & 4018",53,Landscape,,5/31/2018,2018,2013,0,C. Wallace,R. Bista,6/9/2020,5
Southern Alice Springs,UNDOOLYA,UDL,"1,484",PPL 980,"NT Por 4276, 4296 & 771",53,Landscape,,3/23/2017,2017,2013,0,A. Scott,C. Wallace,12/10/2018,10
Sturt Plateau,VERMELHA,VMH,"2,039",PPL 1174,NT Por 5130,53,Landscape,,9/17/2018,2018,2014,0,D. Hooper,B. Sauer,11/29/2018,10
VRD,VICTORIA RIVER DOWNS,VRD,"8,935",PPL 1055,NT Por 799,52,Landscape,,5/18/2018,2018,2012,0,B. Sauer,D. Hooper,7/21/2016,10
Southern Alice Springs,VICTORY DOWNS,VTD,"3,038",PPL 1154,NT Por 324 & 898,53,Landscape,,8/20/2018,2018,2013,0,C. Wallace,J. Barnetson,11/13/2017,10
Barkly,WALHALLOW,WLH,"3,580",PPL 1015,NT Por 309,53,Landscape,,7/23/2018,2018,2013,0,D. Hooper,R. Eastick,2/14/2020,5
VRD,WALLAMUNGA,WLM,"2,582",PPL 1029,NT Por 478,52,Portrait,,6/22/2016,2016,2007,0,D. Hooper,N. Prunckun,10/23/2020,5
VRD,WATERLOO,WTL,"1,895",PPL 1047,NT Por 4090,52,Portrait,,10/16/2017,2017,2007,0,D. Hooper,E. Kippers,7/24/2020,10
VRD,WAVE HILL,WVH,"5,493",PPL 1002,NT Por 2653,52,Portrait,,6/24/2020,2020,2015,0,D. Hooper,E. Kippers,12/15/2017,0
Darwin,WELLTREE,WLT,391,PPL 1087,NT Por 3220,52,Landscape,,9/24/2015,2015,2007,0,B. Lynes,J. Targett,11/30/2016,10
Barkly,WEST RANKEN,WRK,"2,912",PPL 914,NT Por 2 & 7498,53,Portrait,,7/16/2017,2017,2009,0,A. Scott,H. Brink,9/11/2017,3
Sturt Plateau,WESTERN CREEK,WCW,606,PPL 1165 & PL 1176,NT Por 3047 & 5808,53,Portrait,,9/9/2019,2019,2014,0,J. Targett,S. Washusen,10/14/2020,10
Katherine,WILLEROO,WLR,"1,710",PPL 1040,NT Por 3983,52,Portrait,,8/31/2020,2020,2015,0,D. Hooper,E. Kippers,5/18/2021,5
Gulf,WOLLOGORANG,WLN,"5,761",PPL 1113,NT Por 674 & 549,53,Portrait,,9/10/2019,2019,2014,0,D. Hooper,E. Kippers,10/25/2019,10
VRD,WOMBUNGI,WGI,"1,290",PL 1023,NT Por 3685,52,Landscape,,9/4/2017,2017,2008,0,D. Hooper,E. Kippers,9/7/2017,10
Roper,WONGALARA,WLO,"1,912",PL 1168,NT Por 5109,53,Landscape,,8/13/2020,2020,2018,0,S. Washusen,J. Targett,9/15/2017,5
Northern Alice Springs,WOODGREEN,WDG,"1,230",PPL 972,NT Por 2673,53,Landscape,"53,000",11/7/2016,2016,2008,0,M. Humphrys,C. Wallace,11/16/2015,3
Darwin,WOOLNER,WNR,647,PPL 1106,NT Por 1299,52,Portrait,,10/13/2015,2015,2004,0,B. Lynes,J. Targett,11/26/2015,5
Sturt Plateau,WYWORRIE,WYW,428,PPL 1192,NT Por 2729,53,Landscape,,7/24/2017,2017,2010,0,D. Hooper,E. Kippers,10/30/2019,0
Northern Alice Springs,YAMBAH,YBH,"2,310",PPL 904,NT Por 641,53,Landscape,,6/1/2020,2020,2015,0,D. Mitchell,H. Brink,8/24/2016,0
