Echium plantagineum	Pattersons curse
Sphagneticola trilobata	Singapore daisy
Nicotiana glauca	
Medicago minima	
Leptochloa panicea	Sprangletop - panicea
Barleria prionitis	Barleria
Solanum torvum	
Corchorus trilocularis	
Cenchrus setaceus	Fountain grass
Arctotheca calendula	
Bromus catharticus	
Bromus diandrus	
Desmodium scorpiurus	
Carthamus lanatus	Saffron thistle
Cassia siamea	Siamese cassia
Cylindropuntia imbricata	Rope cactus - Devils rope
Gypsophila tubulosa	
Xanthium spp	Burrs
Polypogon monspeliensis	
Cylindropuntia fulgida	Rope cactus - fulgida
Chloris pilosa	
Aeschynomene americana	
Thunbergia grandiflora	Blue trumpet vine
Phyllanthus debilis	
Juncus acutus	
Hypochoeris glabra	
Carrichtera annua	
Indigofera glandulosa	
Heliotropium supinum	
Hyptis spicigera	Hyptis - specigera
Sansevieria trifasciata	Mother-in-laws tongue
Murraya koenigii	
Eragrostis pilosa	Lovegrass - pilosa
Stylosanthes viscosa	Stylo shrubby - viscosa
Eichhornia crassipes	Water hyacinth
Richardia scabra	
Helianthus annuus	
Dalbergia sissoo	Indian rosewood
Lindernia crustacea	
Caryota mitis	Fishtail palm
Spermacoce latifolia	
Mecardonia procumbens	
Setaria sphacelata	
Setaria verticillata	
Solanum americanum	
Anacardium occidentale	Cashew
Polycarpon prostratum	
Datura inoxia	Thornapple - inoxia
Rumex crispus	
Cleome rutidosperma	
Capsicum annuum	
Turnera ulmifolia	
Malvastrum coromandelianum	
Micrococca mercurialis	
Plantago lanceolata	
Sorghum bicolor	
Sporobolus jacquemontii	Rats tail grass - American
Eragrostis cylindriflora	Lovegrass - cylindriflora
Vulpia myuros	
Moringa oleifera	Drumstick tree
Leptochloa fusca subsp uninervia	Brown beetle grass
Calotropis gigantea	
Aristolochia indica	
Bambusa vulgaris	
Ammannia auriculata	
Centrosema pascuorum	Cavalcade
Digitaria violascens	Crab grass - violascens
Cocos nucifera	
Cenchrus brownii	
Opuntia sp	Prickly pears sp
Amsinckia calycina	
Panicum antidotale	
Crotalaria incana	Crotalaria - incana
Osteospermum muricatum	
Taraxacum officinale	
Medicago scutellata	
Glandularia aristigera	
Melia azedarach	White cedar
Murdannia nudiflora	
Paspalum conjugatum	
Medicago polymorpha	
Lygodium japonicum	
Lantana montevidensis	Lantana - creeping
Datura wrightii	Thornapple - wrightii
Carthamus tinctorius	
Papaver hybridum	
Schismus barbatus	
Cleome aculeata	
Ardisia elliptica	
Paspalum plicatulum	
Asclepias curassavica	
Solanum elaeagnifolium	
Indigofera cordifolia	
Lolium perenne	
Symphyotrichum subulatum	
Oxalis corniculata	
Glaucium corniculatum	
Amaranthus hybridus	
Buglossoides arvensis	
Salvinia natans	Salvinia - natans
Arundo donax	Giant reed
Celosia argentea	
Asphodelus fistulosus	Onion weed
Cenchrus purpureus	
Cyperus flavescens	
Pterocarpus indicus	
Erodium botrys	
Spermacoce verticillata	
Euphorbia peplus	
Chenopodium murale	
Saccharum spontaneum	Wild sugar cane
Hordeum glaucum	
Avena fatua	
Emex australis	Spiny emex
Bacopa caroliniana	Bacopa
Amaranthus spinosus	
Cyperus sesquiflorus	
Polygonum aviculare	
Rostraria cristata	
Urtica urens	
Opuntia elatior	Prickly pears - elatior
Eulophia graminea	
Solanum erianthum	
Melinis minutiflora	Molasses grass
Oryza sativa	
Papaver somniferum	
Cenchrus clandestinus	
Chloris truncata	
Rapistrum rugosum	
Chenopodium album	
Setaria incrassata	
Bromus madritensis	
Centrosema plumieri	
Medicago sativa	
Juncus bufonius	
Melilotus indicus	
Euphorbia chamaesyce	
Momordica charantia	Bitter melon - charantia
Lactuca sativa	
Crotalaria lanceolata	Crotalaria - lanceolata
Prosopis velutina	Mesquite - velutina
Fumaria densiflora	
Hordeum murinum	
Stellaria media	Chick weed
Sagittaria spp	Arrowhead
Jatropha curcas	Physic nut
Tithonia diversifolia	Mexican sunflower
Neptunia plena	Water mimosa - plena
Cleome gynandra	
Caesalpinia gilliesii	
Hordeum leporinum	
Guilleminea densa	
Setaria surgens	Pearl millet
Cerastium glomeratum	
Festuca arundinacea	
Cyperus cyperinus	
Hygrophila triflora	Hygrophila
Mimosa invisa	Giant sensitive plant - invisa
